FuelNorm,KeeperNorm,Period,Vehicles
Battery Electric,Company,2015Q1,7030.0
Battery Electric,Company,2015Q2,7014.0
Battery Electric,Company,2015Q3,7241.0
Battery Electric,Company,2015Q4,7720.0
Battery Electric,Company,2016Q1,8523.0
Battery Electric,Company,2016Q2,8344.0
Battery Electric,Company,2016Q3,8824.0
Battery Electric,Company,2016Q4,9223.0
Battery Electric,Company,2017Q1,9975.0
Battery Electric,Company,2017Q2,10310.0
Battery Electric,Company,2017Q3,10883.0
Battery Electric,Company,2017Q4,11023.0
Battery Electric,Company,2018Q1,12134.0
Battery Electric,Company,2018Q2,12697.0
Battery Electric,Company,2018Q3,13518.0
Battery Electric,Company,2018Q4,14708.0
Battery Electric,Company,2019Q1,16774.0
Battery Electric,Company,2019Q2,19121.0
Battery Electric,Company,2019Q3,23584.0
Battery Electric,Company,2019Q4,30319.0
Battery Electric,Company,2020Q1,40643.0
Battery Electric,Company,2020Q2,47614.0
Battery Electric,Company,2020Q3,69178.0
Battery Electric,Company,2020Q4,98476.0
Battery Electric,Company,2021Q1,119901.0
Battery Electric,Company,2021Q2,144791.0
Battery Electric,Company,2021Q3,170887.0
Battery Electric,Company,2021Q4,211589.0
Battery Electric,Company,2022Q1,249892.0
Battery Electric,Company,2022Q2,278748.0
Battery Electric,Company,2022Q3,312840.0
Battery Electric,Company,2022Q4,375389.0
Battery Electric,Company,2023Q1,420542.0
Battery Electric,Company,2023Q2,467766.0
Battery Electric,Company,2023Q3,518986.0
Battery Electric,Company,2023Q4,562494.0
Battery Electric,Company,2024Q1,608473.0
Battery Electric,Company,2024Q2,650891.0
Battery Electric,Company,2024Q3,705464.0
Battery Electric,Company,2024Q4,769272.0
Battery Electric,Company,2025Q1,835141.0
Battery Electric,Private,2015Q1,575.0
Battery Electric,Private,2015Q2,619.0
Battery Electric,Private,2015Q3,777.0
Battery Electric,Private,2015Q4,916.0
Battery Electric,Private,2016Q1,1117.0
Battery Electric,Private,2016Q2,1285.0
Battery Electric,Private,2016Q3,1537.0
Battery Electric,Private,2016Q4,1765.0
Battery Electric,Private,2017Q1,2358.0
Battery Electric,Private,2017Q2,2993.0
Battery Electric,Private,2017Q3,3709.0
Battery Electric,Private,2017Q4,4521.0
Battery Electric,Private,2018Q1,5521.0
Battery Electric,Private,2018Q2,6342.0
Battery Electric,Private,2018Q3,7644.0
Battery Electric,Private,2018Q4,9102.0
Battery Electric,Private,2019Q1,10742.0
Battery Electric,Private,2019Q2,12829.0
Battery Electric,Private,2019Q3,18131.0
Battery Electric,Private,2019Q4,22247.0
Battery Electric,Private,2020Q1,28134.0
Battery Electric,Private,2020Q2,30694.0
Battery Electric,Private,2020Q3,40989.0
Battery Electric,Private,2020Q4,50287.0
Battery Electric,Private,2021Q1,58814.0
Battery Electric,Private,2021Q2,75120.0
Battery Electric,Private,2021Q3,97980.0
Battery Electric,Private,2021Q4,124064.0
Battery Electric,Private,2022Q1,152317.0
Battery Electric,Private,2022Q2,176775.0
Battery Electric,Private,2022Q3,199960.0
Battery Electric,Private,2022Q4,223399.0
Battery Electric,Private,2023Q1,253866.0
Battery Electric,Private,2023Q2,287573.0
Battery Electric,Private,2023Q3,326563.0
Battery Electric,Private,2023Q4,354387.0
Battery Electric,Private,2024Q1,392148.0
Battery Electric,Private,2024Q2,434484.0
Battery Electric,Private,2024Q3,485835.0
Battery Electric,Private,2024Q4,526043.0
Battery Electric,Private,2025Q1,585392.0
Plug-in Hybrid,Company,2015Q1,6572.0
Plug-in Hybrid,Company,2015Q2,8197.0
Plug-in Hybrid,Company,2015Q3,9845.0
Plug-in Hybrid,Company,2015Q4,12086.0
Plug-in Hybrid,Company,2016Q1,16695.0
Plug-in Hybrid,Company,2016Q2,20727.0
Plug-in Hybrid,Company,2016Q3,25017.0
Plug-in Hybrid,Company,2016Q4,28367.0
Plug-in Hybrid,Company,2017Q1,32583.0
Plug-in Hybrid,Company,2017Q2,36073.0
Plug-in Hybrid,Company,2017Q3,40415.0
Plug-in Hybrid,Company,2017Q4,44968.0
Plug-in Hybrid,Company,2018Q1,48982.0
Plug-in Hybrid,Company,2018Q2,53828.0
Plug-in Hybrid,Company,2018Q3,58569.0
Plug-in Hybrid,Company,2018Q4,63382.0
Plug-in Hybrid,Company,2019Q1,65859.0
Plug-in Hybrid,Company,2019Q2,66216.0
Plug-in Hybrid,Company,2019Q3,67518.0
Plug-in Hybrid,Company,2019Q4,71591.0
Plug-in Hybrid,Company,2020Q1,78983.0
Plug-in Hybrid,Company,2020Q2,78739.0
Plug-in Hybrid,Company,2020Q3,87898.0
Plug-in Hybrid,Company,2020Q4,99474.0
Plug-in Hybrid,Company,2021Q1,111334.0
Plug-in Hybrid,Company,2021Q2,125028.0
Plug-in Hybrid,Company,2021Q3,135674.0
Plug-in Hybrid,Company,2021Q4,145427.0
Plug-in Hybrid,Company,2022Q1,155978.0
Plug-in Hybrid,Company,2022Q2,162443.0
Plug-in Hybrid,Company,2022Q3,169324.0
Plug-in Hybrid,Company,2022Q4,179264.0
Plug-in Hybrid,Company,2023Q1,190156.0
Plug-in Hybrid,Company,2023Q2,200783.0
Plug-in Hybrid,Company,2023Q3,215021.0
Plug-in Hybrid,Company,2023Q4,232559.0
Plug-in Hybrid,Company,2024Q1,247184.0
Plug-in Hybrid,Company,2024Q2,256889.0
Plug-in Hybrid,Company,2024Q3,267122.0
Plug-in Hybrid,Company,2024Q4,277320.0
Plug-in Hybrid,Company,2025Q1,291751.0
Plug-in Hybrid,Private,2015Q1,542.0
Plug-in Hybrid,Private,2015Q2,369.0
Plug-in Hybrid,Private,2015Q3,305.0
Plug-in Hybrid,Private,2015Q4,293.0
Plug-in Hybrid,Private,2016Q1,412.0
Plug-in Hybrid,Private,2016Q2,462.0
Plug-in Hybrid,Private,2016Q3,394.0
Plug-in Hybrid,Private,2016Q4,548.0
Plug-in Hybrid,Private,2017Q1,670.0
Plug-in Hybrid,Private,2017Q2,1125.0
Plug-in Hybrid,Private,2017Q3,1794.0
Plug-in Hybrid,Private,2017Q4,2390.0
Plug-in Hybrid,Private,2018Q1,3469.0
Plug-in Hybrid,Private,2018Q2,4821.0
Plug-in Hybrid,Private,2018Q3,6475.0
Plug-in Hybrid,Private,2018Q4,8390.0
Plug-in Hybrid,Private,2019Q1,10315.0
Plug-in Hybrid,Private,2019Q2,12751.0
Plug-in Hybrid,Private,2019Q3,15878.0
Plug-in Hybrid,Private,2019Q4,19885.0
Plug-in Hybrid,Private,2020Q1,24104.0
Plug-in Hybrid,Private,2020Q2,26855.0
Plug-in Hybrid,Private,2020Q3,35085.0
Plug-in Hybrid,Private,2020Q4,42052.0
Plug-in Hybrid,Private,2021Q1,51637.0
Plug-in Hybrid,Private,2021Q2,65626.0
Plug-in Hybrid,Private,2021Q3,80127.0
Plug-in Hybrid,Private,2021Q4,93005.0
Plug-in Hybrid,Private,2022Q1,109699.0
Plug-in Hybrid,Private,2022Q2,124323.0
Plug-in Hybrid,Private,2022Q3,136308.0
Plug-in Hybrid,Private,2022Q4,149292.0
Plug-in Hybrid,Private,2023Q1,166221.0
Plug-in Hybrid,Private,2023Q2,183654.0
Plug-in Hybrid,Private,2023Q3,201236.0
Plug-in Hybrid,Private,2023Q4,218908.0
Plug-in Hybrid,Private,2024Q1,242040.0
Plug-in Hybrid,Private,2024Q2,266312.0
Plug-in Hybrid,Private,2024Q3,294445.0
Plug-in Hybrid,Private,2024Q4,319727.0
Plug-in Hybrid,Private,2025Q1,354370.0
